Trajectory ID,SMILES,PSMILES,CONDUCTIVITY,log10_cond,fold
27047,CCC(CO*)NC(=O)C(OC(=O)*)C(C)C,CCC(CO[*])NC(=O)C(OC(=O)[*])C(C)C,2.53e-05,-4.5968794788241825,3
27048,CC(CCNC(=O)CCN*)NC(=O)*,CC(CCNC(=O)CCN[*])NC(=O)[*],7.08e-05,-4.149966742310231,0
27049,CC=C(CC)C(=O)NC(CO*)COC(=O)*,CC=C(CC)C(=O)NC(CO[*])COC(=O)[*],2.82e-05,-4.549750891680639,0
27050,CC(C)C(CN(C)CCO*)OC(=O)*,CC(C)C(CN(C)CCO[*])OC(=O)[*],6.53e-05,-4.185086818724926,2
27051,CCC(CC)C(NC(=O)*)C(C)(C)O*,CCC(CC)C(NC(=O)[*])C(C)(C)O[*],2.52e-05,-4.598599459218456,1
27052,CC(OC(=O)*)C(C)SCC(C)(C)O*,CC(OC(=O)[*])C(C)SCC(C)(C)O[*],3.71e-05,-4.430626090384954,2
27053,CCC(C)C(C)(CO*)COC(=O)*,CCC(C)C(C)(CO[*])COC(=O)[*],8.21e-06,-5.085656842880559,0
27054,CC(C)C(CSC(C)C(C)O*)OC(=O)*,CC(C)C(CSC(C)C(C)O[*])OC(=O)[*],5.13e-05,-4.289882634888183,3
27055,CC(CN*)NC(=O)C(C)CNC(=O)*,CC(CN[*])NC(=O)C(C)CNC(=O)[*],3.63e-05,-4.440093374963888,2
27056,CC(C)(CCO*)C(C)(C)OC(=O)*,CC(C)(CCO[*])C(C)(C)OC(=O)[*],2.65e-05,-4.576754126063192,2
27057,CC(CCCC(C)(C)O*)CCOC(=O)*,CC(CCCC(C)(C)O[*])CCOC(=O)[*],3.63e-05,-4.440093374963888,1
27058,CC(CCO*)SC(C)C(C)OC(=O)*,CC(CCO[*])SC(C)C(C)OC(=O)[*],4.16e-05,-4.380906669373258,2
27059,CC(CN*)CNC(=O)C(C)(C)CNC(=O)*,CC(CN[*])CNC(=O)C(C)(C)CNC(=O)[*],3.06e-05,-4.51427857351842,1
27060,CCN(CCO*)C(=O)C(OC(=O)*)C(C)C,CCN(CCO[*])C(=O)C(OC(=O)[*])C(C)C,3.22e-05,-4.492144128304169,3
27061,CSCCC(CN*)OC(=O)*,CSCCC(CN[*])OC(=O)[*],4.7e-05,-4.327902142064283,1
27062,CC(C)(C)C(C#CC(OC(=O)*)C(C)(C)C)O*,CC(C)(C)C(C#CC(OC(=O)[*])C(C)(C)C)O[*],1.01e-05,-4.995678626217358,2
27063,C[Si](C)(CCCO*)CCCOC(=O)*,C[Si](C)(CCCO[*])CCCOC(=O)[*],7.6e-05,-4.119186407719209,2
27064,CC(O*)C(C)SCCCCCOC(=O)*,CC(O[*])C(C)SCCCCCOC(=O)[*],5.69e-05,-4.244887733604929,2
27065,CC(CN*)NC(=O)CCC(C)(C)NC(=O)*,CC(CN[*])NC(=O)CCC(C)(C)NC(=O)[*],4.88e-05,-4.311580177997289,0
27066,O=C(*)OCCC(F)(F)CCO*,O=C([*])OCCC(F)(F)CCO[*],5.42e-05,-4.266000713461613,3
27067,CC(C)(CCN*)CCNC(=O)*,CC(C)(CCN[*])CCNC(=O)[*],4.22e-05,-4.374687549038327,3
27068,CCCC(CSCC(C)CO*)OC(=O)*,CCCC(CSCC(C)CO[*])OC(=O)[*],5.37e-05,-4.270025714300444,0
27069,CCCC(CSC(C)CCOC(=O)*)O*,CCCC(CSC(C)CCOC(=O)[*])O[*],5.22e-05,-4.282329496997738,2
27070,CC(C)C(CCC(OC(=O)*)C(C)C)O*,CC(C)C(CCC(OC(=O)[*])C(C)C)O[*],3.47e-05,-4.459670525209126,1
27071,CCCC(CC)SCC(CO*)OC(=O)*,CCCC(CC)SCC(CO[*])OC(=O)[*],2.32e-05,-4.634512015109101,3
27072,CCCC(CC)NC(CC)(COC(=O)*)N*,CCCC(CC)NC(CC)(COC(=O)[*])N[*],3.8e-05,-4.42021640338319,2
27073,CC(C)C(C(CN*)COC(=O)*)N(C)C,CC(C)C(C(CN[*])COC(=O)[*])N(C)C,1.51e-05,-4.82102305270683,1
27074,CC(C)(CO*)CSCCCOC(=O)*,CC(C)(CO[*])CSCCCOC(=O)[*],7.66e-05,-4.115771230367396,1
27075,CC(CCCSC(C)CO*)OC(=O)*,CC(CCCSC(C)CO[*])OC(=O)[*],7.35e-05,-4.133712660915805,2
27076,CCC(COC(=O)*)C(=O)N(C)CC(C)O*,CCC(COC(=O)[*])C(=O)N(C)CC(C)O[*],3.5e-05,-4.455931955649724,3
27077,CC(C)CC(CC(C)(C)OC(=O)*)O*,CC(C)CC(CC(C)(C)OC(=O)[*])O[*],9.7e-06,-5.013228265733755,2
27078,CC(C)CC(N*)C(CC(=O)O)OC(=O)*,CC(C)CC(N[*])C(CC(=O)O)OC(=O)[*],1.53e-05,-4.815308569182402,0
27079,CC(CC(C)(C)NC(=O)C(C)O*)OC(=O)*,CC(CC(C)(C)NC(=O)C(C)O[*])OC(=O)[*],5.72e-05,-4.242603971206976,0
27080,CCCCC(CC)(CO*)COC(=O)*,CCCCC(CC)(CO[*])COC(=O)[*],2.22e-05,-4.653647025549361,0
27081,CC(CCCSC(C)C(C)OC(=O)*)O*,CC(CCCSC(C)C(C)OC(=O)[*])O[*],6.67e-05,-4.175874166083451,1
27082,CCC(OC(=O)*)C(C)N*,CCC(OC(=O)[*])C(C)N[*],2.81e-05,-4.55129368009492,2
27083,CCC(CC)(O*)C(C)(C)NC(=O)*,CCC(CC)(O[*])C(C)(C)NC(=O)[*],4.73e-05,-4.325138859262188,3
27084,CCC(=O)N(CC(C)O*)C(C)COC(=O)*,CCC(=O)N(CC(C)O[*])C(C)COC(=O)[*],5.04e-05,-4.297569463554475,2
27085,CCC(C)C(CN*)NC(=O)*,CCC(C)C(CN[*])NC(=O)[*],4.36e-05,-4.360513510731414,3
27086,CC(C)=CCSCC(COC(=O)*)O*,CC(C)=CCSCC(COC(=O)[*])O[*],2.47e-05,-4.607303046740334,3
27087,CCC(O*)C(C)(C)NC(=O)*,CCC(O[*])C(C)(C)NC(=O)[*],2.07e-05,-4.684029654543083,1
27088,CC(CO*)CSCCCC(C)OC(=O)*,CC(CO[*])CSCCCC(C)OC(=O)[*],0.000112,-3.9507819773298185,0
27089,CC(CCOC(=O)*)SCCC(C)(C)O*,CC(CCOC(=O)[*])SCCC(C)(C)O[*],2.54e-05,-4.595166283380062,3
27090,CC(C)(CSCCC(C)(C)OC(=O)*)O*,CC(C)(CSCCC(C)(C)OC(=O)[*])O[*],4.34e-05,-4.36251027048749,0
27091,CC(CCCO*)CCOC(=O)*,CC(CCCO[*])CCOC(=O)[*],9.62e-05,-4.016824927962187,0
27092,CCN(CC)CCC(CNC(=O)*)O*,CCN(CC)CCC(CNC(=O)[*])O[*],8.4e-05,-4.075720713938118,1
27093,CCOC(=O)C(CNC(=O)*)C(C)(CC)N*,CCOC(=O)C(CNC(=O)[*])C(C)(CC)N[*],2.63e-05,-4.580044251510242,3
27094,CC(C)(C)C(NC(=O)*)C(C)(C)O*,CC(C)(C)C(NC(=O)[*])C(C)(C)O[*],1.84e-05,-4.735182176990463,1
