band,n,cond_min,cond_median,cond_max,mae_log10,rmse_log10,mae_factor_approx,rmse_factor_approx,mae_cond,rmse_cond
q1,1568,2.48e-06,2.98e-05,3.85e-05,0.18527167109163262,0.2335019336474713,1.532045526647503,1.7119927991418158,1.4660995149825312e-05,1.8930383413103987e-05
q2,1568,3.85e-05,4.66e-05,5.39e-05,0.09793560428071449,0.1255365671787202,1.2529553771745763,1.3351700048631407,1.1029172756930938e-05,1.5362124268684674e-05
q3,1567,5.39e-05,6.28e-05,7.48e-05,0.11057570749723349,0.13945956595093476,1.2899584076608237,1.3786675891273603,1.4878297300627405e-05,1.903536605183461e-05
q4,1567,7.48e-05,9.65e-05,0.00157,0.1544171539677312,0.19303916100112792,1.4269775938984748,1.559693136414305,3.658744956381881e-05,7.214346457717059e-05
