fold,n_train,n_val,mae_log10,rmse_log10,mae_factor_approx,rmse_factor_approx
0,4709,1561,0.13382868916464494,0.17314293576789805,1.360907755929074,1.489851339536118
1,4711,1559,0.14118246163520543,0.18693697665584263,1.3841477836010119,1.5379314447068078
2,4687,1583,0.13622281405267578,0.17733928720746128,1.3684307166034444,1.50431673603901
3,4703,1567,0.13698921815255075,0.17504135673451066,1.3708477329104187,1.4963781455106586
