model_id,metric,previous_row_split,canonical_group_split,delta
baseline_unweighted__ridge_alpha_1,mae_log10,0.1360528651896103,0.1370518474344133,0.0009989822448029928
baseline_unweighted__ridge_alpha_1,rmse_log10,0.1765525694393978,0.1781855819243734,0.0016330124849756045
baseline_unweighted__ridge_alpha_1,r2,0.4667419649607635,0.4568316666642806,-0.009910298296482878
baseline_unweighted__ridge_alpha_1,pearson,0.6882943508944662,0.6823089926200742,-0.005985358274392061
baseline_unweighted__ridge_alpha_1,spearman,0.6424089546749756,0.6391490426968269,-0.0032599119781486774
baseline_unweighted__ridge_alpha_1,precision_at_1e4,0.6673640167364017,0.6652631578947369,-0.0021008588416647767
baseline_unweighted__ridge_alpha_1,recall_at_1e4,0.4550641940085592,0.4507845934379458,-0.004279600570613384
baseline_unweighted__ridge_alpha_1,f1_at_1e4,0.5411365564037319,0.5374149659863946,-0.003721590417337328
baseline_unweighted__ridge_alpha_1,top100_enrichment,8.407703281027104,8.407703281027104,0.0
baseline_unweighted__ridge_alpha_1,tail_mae_true_ge_1e4,0.1704675548560532,0.1705620769394515,9.452208339830181e-05
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,mae_log10,0.1383990114422241,0.1393192219347863,0.0009202104925621901
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,rmse_log10,0.181957174831491,0.183801016412691,0.0018438415812000175
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,r2,0.4335941979445742,0.4220568234703057,-0.011537374474268502
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,pearson,0.6955877493873152,0.6882505864064749,-0.007337162980840306
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,spearman,0.6523642658037002,0.6490127534988778,-0.003351512304822446
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,precision_at_1e4,0.5867208672086721,0.5887096774193549,0.0019888102106827565
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,recall_at_1e4,0.6176890156918687,0.6248216833095578,0.007132667617689048
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,f1_at_1e4,0.6018068102849202,0.6062283737024222,0.004421563417501995
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,top100_enrichment,8.586590584878744,8.586590584878744,0.0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,tail_mae_true_ge_1e4,0.1262435712820409,0.12824733616201,0.0020037648799691166
