repeat,run,batch_size,decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,valid,valid_unique,valid_unique_novel,invalid_or_empty,output_path,all_novel_unique,fcd_all_novel_vs_original
3,32,1024,shared,1.0,,0.95,988,17,10,36,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_32_novel_smiles_condz_high.csv,18,16.835420307410388
3,33,1024,shared,1.0,,0.95,992,16,9,32,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_33_novel_smiles_condz_high.csv,18,16.835420307410388
3,34,1024,shared,1.0,,0.95,979,15,9,45,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_34_novel_smiles_condz_high.csv,18,16.835420307410388
3,35,1024,shared,1.0,,0.95,985,18,11,39,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_35_novel_smiles_condz_high.csv,18,16.835420307410388
3,36,1024,shared,1.0,,0.95,990,15,10,34,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_36_novel_smiles_condz_high.csv,18,16.835420307410388
3,37,1024,shared,1.0,,0.95,979,18,12,45,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_37_novel_smiles_condz_high.csv,18,16.835420307410388
3,38,1024,shared,1.0,,0.95,984,18,11,40,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_38_novel_smiles_condz_high.csv,18,16.835420307410388
3,39,1024,shared,1.0,,0.95,988,19,13,36,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_39_novel_smiles_condz_high.csv,18,16.835420307410388
3,40,1024,shared,1.0,,0.95,981,17,11,43,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_40_novel_smiles_condz_high.csv,18,16.835420307410388
3,41,1024,shared,1.0,,0.95,996,18,12,28,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_41_novel_smiles_condz_high.csv,18,16.835420307410388
3,42,1024,shared,1.0,,0.95,987,18,12,37,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_42_novel_smiles_condz_high.csv,18,16.835420307410388
3,43,1024,shared,1.0,,0.95,999,19,12,25,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_43_novel_smiles_condz_high.csv,18,16.835420307410388
3,44,1024,shared,1.0,,0.95,982,20,13,42,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_44_novel_smiles_condz_high.csv,18,16.835420307410388
3,45,1024,shared,1.0,,0.95,986,17,11,38,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_45_novel_smiles_condz_high.csv,18,16.835420307410388
3,46,1024,shared,1.0,,0.95,988,15,8,36,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_46_novel_smiles_condz_high.csv,18,16.835420307410388
3,47,1024,shared,1.0,,0.95,997,17,10,27,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_47_novel_smiles_condz_high.csv,18,16.835420307410388
3,48,1024,shared,1.0,,0.95,987,17,10,37,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_48_novel_smiles_condz_high.csv,18,16.835420307410388
3,49,1024,shared,1.0,,0.95,988,18,12,36,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_49_novel_smiles_condz_high.csv,18,16.835420307410388
3,50,1024,shared,1.0,,0.95,994,15,9,30,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_50_novel_smiles_condz_high.csv,18,16.835420307410388
