target_conductivity,repeat,generation_idx,num_samples,validity,uniqueness,novelty,run_csv
0,1,43,1024,0.8115234375,0.9873046875,0.8935546875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat01_gen43.csv
0,1,44,1024,0.80859375,0.990234375,0.890625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat01_gen44.csv
0,1,45,1024,0.7998046875,0.9873046875,0.896484375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat01_gen45.csv
0,1,46,1024,0.7978515625,0.990234375,0.8955078125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat01_gen46.csv
0,1,47,1024,0.798828125,0.9931640625,0.896484375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat01_gen47.csv
0,1,48,1024,0.81640625,0.98828125,0.8916015625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat01_gen48.csv
0,1,49,1024,0.7978515625,0.9833984375,0.9130859375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat01_gen49.csv
0,1,50,1024,0.7822265625,0.9892578125,0.880859375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat01_gen50.csv
0,2,1,1024,0.81640625,0.9931640625,0.8896484375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen01.csv
0,2,2,1024,0.8115234375,0.9931640625,0.8955078125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen02.csv
0,2,3,1024,0.8232421875,0.9873046875,0.8916015625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen03.csv
0,2,4,1024,0.8173828125,0.9873046875,0.884765625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen04.csv
0,2,5,1024,0.8076171875,0.9873046875,0.90234375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen05.csv
0,2,6,1024,0.79296875,0.9833984375,0.8876953125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen06.csv
0,2,7,1024,0.8037109375,0.9912109375,0.8994140625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen07.csv
0,2,8,1024,0.81640625,0.9951171875,0.88671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen08.csv
0,2,9,1024,0.8154296875,0.994140625,0.890625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen09.csv
0,2,10,1024,0.7919921875,0.9912109375,0.8935546875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen10.csv
0,2,11,1024,0.8095703125,0.986328125,0.8916015625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen11.csv
0,2,12,1024,0.826171875,0.994140625,0.888671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen12.csv
0,2,13,1024,0.8271484375,0.9814453125,0.8837890625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen13.csv
0,2,14,1024,0.828125,0.9931640625,0.89453125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen14.csv
0,2,15,1024,0.8173828125,0.990234375,0.876953125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen15.csv
0,2,16,1024,0.810546875,0.9931640625,0.8916015625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen16.csv
0,2,17,1024,0.8046875,0.990234375,0.9033203125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen17.csv
0,2,18,1024,0.79296875,0.990234375,0.8974609375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen18.csv
0,2,19,1024,0.8134765625,0.98828125,0.8916015625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen19.csv
0,2,20,1024,0.8076171875,0.986328125,0.8759765625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen20.csv
0,2,21,1024,0.81640625,0.9892578125,0.8974609375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen21.csv
0,2,22,1024,0.82421875,0.982421875,0.884765625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen22.csv
0,2,23,1024,0.8076171875,0.98828125,0.90625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen23.csv
0,2,24,1024,0.7880859375,0.9921875,0.8955078125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen24.csv
0,2,25,1024,0.81640625,0.990234375,0.890625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen25.csv
0,2,26,1024,0.76953125,0.994140625,0.904296875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen26.csv
0,2,27,1024,0.7958984375,0.9921875,0.896484375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen27.csv
0,2,28,1024,0.78125,0.9912109375,0.9052734375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen28.csv
0,2,29,1024,0.802734375,0.9931640625,0.90625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen29.csv
0,2,30,1024,0.8017578125,0.9931640625,0.87890625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen30.csv
