model_name,cond_key,fcd_all_mean,fcd_all_std,all_novel_unique_mean,all_novel_unique_std,original_valid_unique,repeat_evals,batch_size,num_rounds
TransCVAE,LOW,2.4172611566433977,0.0085332443783523,41994.4,113.57508529602784,6026,5,1024,50
TransCVAE,HIGH,16.53167667038273,0.0534116786970375,8729.2,61.88860961437088,6026,5,1024,50
TransCVAE_PSMILES,LOW,3.1723749651324176,0.0113838581658457,24370.6,49.535845606994535,6026,5,1024,50
TransCVAE_PSMILES,HIGH,17.068145045323924,0.030460271412897,15607.6,78.72293185597194,6026,5,1024,50
LSTM_CVAE,LOW,0.6662935292480874,0.0112050156803924,19991.4,150.7856093929391,6026,5,1024,50
LSTM_CVAE,HIGH,27.017385202879364,1.1587097725480335,8.6,0.8944271909999159,6026,5,1024,50
LSTM_CVAE_PSMILES,LOW,0.7315826169616699,0.0126759273938338,18102.6,80.71740828346756,6026,5,1024,50
LSTM_CVAE_PSMILES,HIGH,23.33789398136172,0.3298906466470354,10.0,1.0,6026,5,1024,50
Encoder_Only,LOW,3.35729311276674,0.0248350556224822,150.8,1.4832396974191326,6026,5,1024,50
Encoder_Only,HIGH,6.272551374738869,0.1542895962274142,68.2,3.492849839314596,6026,5,1024,50
Encoder_Only_PSMILES,LOW,7.812266667915724,0.0589406544331175,48.6,0.5477225575051661,6026,5,1024,50
Encoder_Only_PSMILES,HIGH,16.851710073803424,0.0419852565937112,18.0,0.7071067811865476,6026,5,1024,50
