stage,source_mdp,parameter,value
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,integrator,steep
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,emtol,100
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,emstep,0.01
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,nsteps,200000
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,cutoff-scheme,Verlet
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,coulombtype,PME
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,rcoulomb,1.2
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,vdwtype,Cut-off
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,rvdw,1.2
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,pbc,xyz
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,integrator,md
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,dt,0.001000
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,cutoff-scheme,Verlet
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,nstlist,20
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,coulombtype,PME
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,rcoulomb,1.0
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,vdwtype,Cut-off
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,rvdw,1.0
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,DispCorr,EnerPres
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,fourierspacing,0.14
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,pbc,xyz
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,constraints,h-bonds
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,constraint-algorithm,lincs
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,lincs_iter,3
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,lincs_order,8
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,lincs-warnangle,30
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,tcoupl,nose-hoover
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,tc-grps,System
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,tau-t,5.00
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,nstxout-compressed,500
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,nstvout,0
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,nstenergy,10000
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,gen-vel,no
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,nsteps,100000
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,ref-t,353.0
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,pcoupl,Berendsen
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,tau-p,200.0
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,ref-p,50.00
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,compressibility,4.5e-5
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,nstpcouple,50
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,refcoord_scaling,com
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,define,-DPOSRES
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,integrator,md
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,dt,0.001000
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,cutoff-scheme,Verlet
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,nstlist,20
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,coulombtype,PME
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,rcoulomb,1.0
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,vdwtype,Cut-off
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,rvdw,1.0
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,DispCorr,EnerPres
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,fourierspacing,0.14
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,pbc,xyz
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,constraints,h-bonds
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,constraint-algorithm,lincs
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,lincs_iter,3
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,lincs_order,8
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,lincs-warnangle,30
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,tcoupl,nose-hoover
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,tc-grps,System
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,tau-t,5.00
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,nstxout-compressed,500
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,nstvout,0
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,nstenergy,10000
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,gen-vel,no
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,nsteps,100000
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,ref-t,353.0
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,pcoupl,Berendsen
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,tau-p,200.0
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,ref-p,200.00
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,compressibility,4.5e-5
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,nstpcouple,50
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,refcoord_scaling,com
generated:npt02_p200,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt02_p200.mdp,define,-DPOSRES
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,integrator,md
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,dt,0.001000
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,cutoff-scheme,Verlet
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,nstlist,20
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,coulombtype,PME
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,rcoulomb,1.0
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,vdwtype,Cut-off
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,rvdw,1.0
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,DispCorr,EnerPres
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,fourierspacing,0.14
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,pbc,xyz
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,constraints,h-bonds
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,constraint-algorithm,lincs
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,lincs_iter,3
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,lincs_order,8
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,lincs-warnangle,30
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,tcoupl,nose-hoover
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,tc-grps,System
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,tau-t,5.00
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,nstxout-compressed,500
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,nstvout,0
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,nstenergy,10000
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,gen-vel,no
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,nsteps,100000
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,ref-t,353.0
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,pcoupl,Berendsen
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,tau-p,200.0
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,ref-p,500.00
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,compressibility,4.5e-5
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,nstpcouple,50
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,refcoord_scaling,com
generated:npt03_p500,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt03_p500.mdp,define,-DPOSRES
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,integrator,md
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,dt,0.001000
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,cutoff-scheme,Verlet
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,nstlist,20
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,coulombtype,PME
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,rcoulomb,1.0
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,vdwtype,Cut-off
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,rvdw,1.0
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,DispCorr,EnerPres
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,fourierspacing,0.14
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,pbc,xyz
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,constraints,h-bonds
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,constraint-algorithm,lincs
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,lincs_iter,3
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,lincs_order,8
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,lincs-warnangle,30
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,tcoupl,nose-hoover
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,tc-grps,System
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,tau-t,5.00
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,nstxout-compressed,500
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,nstvout,0
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,nstenergy,10000
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,gen-vel,no
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,nsteps,200000
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,ref-t,353.0
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,pcoupl,Berendsen
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,tau-p,200.0
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,ref-p,1013.25
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,compressibility,4.5e-5
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,nstpcouple,50
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,refcoord_scaling,com
generated:npt04_p1k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt04_p1k.mdp,define,-DPOSRES
generated:npt05_p2k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt05_p2k.mdp,integrator,md
generated:npt05_p2k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt05_p2k.mdp,dt,0.001000
generated:npt05_p2k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt05_p2k.mdp,cutoff-scheme,Verlet
generated:npt05_p2k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt05_p2k.mdp,nstlist,20
generated:npt05_p2k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt05_p2k.mdp,coulombtype,PME
generated:npt05_p2k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt05_p2k.mdp,rcoulomb,1.0
generated:npt05_p2k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt05_p2k.mdp,vdwtype,Cut-off
generated:npt05_p2k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt05_p2k.mdp,rvdw,1.0
generated:npt05_p2k,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt05_p2k.mdp,DispCorr,EnerPres
