model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,prediction_decile,count,mean_pred_log10,mean_true_log10,std_true_log10,mae_log10,min_pred_log10,max_pred_log10
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,2,627,-4.346060048665448,-4.383460090103471,0.17247948936594176,0.13418941861998268,-4.371834648034967,-4.323289903980032
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,3,627,-4.300876542631785,-4.3418346400384245,0.16794016292957673,0.1316055798181128,-4.323228900375285,-4.280136797629994
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,4,627,-4.260934014048438,-4.297870692679339,0.1671195666538604,0.12990895240662081,-4.280135823048379,-4.240417115793676
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,5,627,-4.220875297809336,-4.276572589841277,0.17264829654896297,0.13730178460271636,-4.240410138950916,-4.199117468750753
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,6,627,-4.17640306890385,-4.227560553173922,0.16311808509958858,0.13095385349879743,-4.199073055049729,-4.154012176502298
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,7,627,-4.125877225574358,-4.194038808168633,0.1725978752002078,0.13863912348487736,-4.153977282741298,-4.094066160061904
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,8,627,-4.052799404150294,-4.115525437814906,0.1594455644913954,0.1279685030751143,-4.093943919947018,-4.000379771889785
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,9,627,-3.8732407334649146,-3.9163813946699926,0.23033570587590696,0.13033393338198776,-3.999407621474408,-3.052974079621924
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,0,627,-4.552044564136968,-4.502827379221932,0.20890254921811588,0.16334931250517584,-4.943260248765643,-4.460239705864357
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,1,627,-4.419747700186477,-4.418113753743783,0.18027907762298492,0.1447328927172183,-4.460046344082539,-4.386055519180931
