model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,k,n_selected,true_ge_1e4_hits,true_ge_1e4_hit_rate,base_prevalence_true_ge_1e4,enrichment,mean_true_log10_cond,median_true_log10_cond
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.198018203376008,-3.199011266231804
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3400706619974927,-3.312471038785365
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.547870567390322,-3.5711167130447063
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6442207616090965,-3.709965388637482
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,200,200,170,0.85,0.11180223285486443,7.602710413694722,-3.762742466005979,-3.772113295386327
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3353875424614823,-3.312471038785365
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.54619322426148,-3.5711167130447063
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6442207616090965,-3.709965388637482
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,200,200,170,0.85,0.11180223285486443,7.602710413694722,-3.7622677577488117,-3.772113295386327
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.336556350637789,-3.312471038785365
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.541642571518045,-3.5598962785205837
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6381640067000562,-3.702307009595429
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,200,200,170,0.85,0.11180223285486443,7.602710413694722,-3.761547903890712,-3.7734020068302323
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3870179754574234,-3.3665315444204134
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.5434130164534685,-3.5598962785205837
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,100,100,92,0.92,0.11180223285486443,8.228815977175465,-3.64421561072636,-3.6925092315637382
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,200,200,173,0.865,0.11180223285486443,7.736875891583453,-3.755042078061735,-3.7759871235632767
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.333191507661461,-3.312471038785365
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.5280860109679684,-3.5598962785205837
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6467943414654824,-3.718966632752272
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,200,200,171,0.855,0.11180223285486443,7.647432239657632,-3.7605566712346192,-3.7734020068302323
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.33319150766146,-3.312471038785365
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.5280860109679684,-3.5598962785205837
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6467943414654824,-3.718966632752272
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,200,200,171,0.855,0.11180223285486443,7.647432239657632,-3.7605566712346192,-3.7734020068302323
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.33319150766146,-3.312471038785365
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.5280860109679684,-3.5598962785205837
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.645705703197707,-3.718966632752272
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,200,200,172,0.86,0.11180223285486443,7.692154065620542,-3.7586169527749074,-3.772113295386327
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.333796857386623,-3.312471038785365
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.5164921526132833,-3.5528530478812814
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,100,100,95,0.95,0.11180223285486443,8.497146932952925,-3.636521967358391,-3.709965388637482
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,200,200,175,0.875,0.11180223285486443,7.826319543509273,-3.75222871726474,-3.772113295386327
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.32824350328716,-3.312471038785365
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.496189873773631,-3.5421840201161103
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,100,100,95,0.95,0.11180223285486443,8.497146932952925,-3.6276598076680995,-3.688246138944246
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,200,200,174,0.87,0.11180223285486443,7.781597717546362,-3.7548813296791708,-3.778587720406181
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3381894714844442,-3.312471038785365
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.530838671112698,-3.5598962785205837
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,100,100,95,0.95,0.11180223285486443,8.497146932952925,-3.634514799755787,-3.714466010694877
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,200,200,171,0.855,0.11180223285486443,7.647432239657632,-3.759549408948641,-3.7734020068302323
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3381894714844442,-3.312471038785365
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.5308386711126984,-3.5598962785205837
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,100,100,95,0.95,0.11180223285486443,8.497146932952925,-3.634514799755787,-3.714466010694877
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,200,200,171,0.855,0.11180223285486443,7.647432239657632,-3.759549408948641,-3.7734020068302323
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3405202815518695,-3.312471038785365
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.51188014339175,-3.5528530478812814
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,100,100,95,0.95,0.11180223285486443,8.497146932952925,-3.6311608107828346,-3.709965388637482
