model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,tail_definition,n_tail,tail_mae_log10,tail_rmse_log10,tail_r2,tail_median_abs_error_log10,tail_p90_abs_error_log10
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,true_ge_1e-4,701,0.1704750607565147,0.211264598321579,-0.5979628299277286,0.1479505731201911,0.32725048292275494
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,true_top_5pct,317,0.18436643131693903,0.23153230142491282,-0.5264510849508774,0.16029158961371337,0.3469738413160303
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,true_top_10pct,643,0.17279839012585324,0.2138538524453492,-0.6042299455522169,0.15298947771274074,0.33094886523900485
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,true_ge_1e-4,701,0.17081959542531908,0.2113358042350873,-0.5990401858052139,0.14859110062491876,0.33058063959135264
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,true_top_5pct,317,0.1898384936025298,0.23693093451544153,-0.5984654342559925,0.17113350751336753,0.3583411497108501
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,true_top_10pct,643,0.17742649610433836,0.21833393387319458,-0.6721488793356438,0.15895364004324986,0.3287460505878019
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,true_ge_1e-4,701,0.17525002386361024,0.2154881708802642,-0.6624939976454034,0.1578793621552088,0.3228852553498056
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,true_top_5pct,317,0.1620503501990224,0.20884755129959312,-0.24199111731273093,0.1309806087115275,0.31271534975134174
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,true_top_10pct,643,0.15301511929291853,0.1937885523081293,-0.31731215510384314,0.1281632062698046,0.3088352719114485
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,true_ge_1e-4,701,0.1520163751981539,0.19244407384979909,-0.3259352004955107,0.12781591147816718,0.30709588938442334
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,true_top_5pct,317,0.16203650089883603,0.2088296788997625,-0.2417785564096937,0.1310592707155358,0.31263969360815674
