model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,threshold_label,threshold_s_cm,threshold_log10,tp,fp,tn,fn,precision,recall,f1,predicted_positive_rate,true_positive_rate,enrichment
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,2e-4,0.0002,-3.6989700043360187,29,7,6177,57,0.8055555555555556,0.3372093023255814,0.4754098360655738,0.005741626794258373,0.013716108452950558,58.730620155038764
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,3e-4,0.0003,-3.5228787452803374,15,2,6243,10,0.8823529411764706,0.6,0.7142857142857143,0.002711323763955343,0.003987240829346092,221.29411764705884
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,3e-5,3e-05,-4.522878745280337,5289,599,188,194,0.8982676630434783,0.9646179099033376,0.9302611907483951,0.9390749601275917,0.874481658692185,1.0272001180526371
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,5e-5,5e-05,-4.301029995663981,2605,770,1951,944,0.7718518518518519,0.7340095801634263,0.7524552281917968,0.5382775119617225,0.5660287081339713,1.3636266867036098
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,1e-4,0.0001,-4.0,320,159,5410,381,0.6680584551148225,0.456490727532097,0.5423728813559322,0.07639553429027113,0.11180223285486443,5.97535879253914
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,2e-4,0.0002,-3.6989700043360187,28,19,6165,58,0.5957446808510638,0.32558139534883723,0.4210526315789474,0.007496012759170654,0.013716108452950558,43.43394359228105
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,3e-4,0.0003,-3.5228787452803374,15,2,6243,10,0.8823529411764706,0.6,0.7142857142857143,0.002711323763955343,0.003987240829346092,221.29411764705884
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,3e-5,3e-05,-4.522878745280337,5289,599,188,194,0.8982676630434783,0.9646179099033376,0.9302611907483951,0.9390749601275917,0.874481658692185,1.0272001180526371
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,5e-5,5e-05,-4.301029995663981,2604,768,1953,945,0.7722419928825622,0.7337278106508875,0.7524924143909839,0.5377990430622009,0.5660287081339713,1.3643159468508494
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,1e-4,0.0001,-4.0,320,159,5410,381,0.6680584551148225,0.456490727532097,0.5423728813559322,0.07639553429027113,0.11180223285486443,5.97535879253914
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,2e-4,0.0002,-3.6989700043360187,28,19,6165,58,0.5957446808510638,0.32558139534883723,0.4210526315789474,0.007496012759170654,0.013716108452950558,43.43394359228105
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,3e-4,0.0003,-3.5228787452803374,15,2,6243,10,0.8823529411764706,0.6,0.7142857142857143,0.002711323763955343,0.003987240829346092,221.29411764705884
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,3e-5,3e-05,-4.522878745280337,5292,601,186,191,0.8980145935856101,0.9651650556264818,0.9303797468354431,0.939872408293461,0.874481658692185,1.0269107243811373
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,5e-5,5e-05,-4.301029995663981,2604,772,1949,945,0.7713270142180095,0.7337278106508875,0.752057761732852,0.5384370015948964,0.5660287081339713,1.362699458762164
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,1e-4,0.0001,-4.0,319,159,5410,382,0.6673640167364017,0.4550641940085592,0.5411365564037319,0.07623604465709728,0.11180223285486443,5.9691474820787995
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,2e-4,0.0002,-3.6989700043360187,28,18,6166,58,0.6086956521739131,0.32558139534883723,0.42424242424242425,0.00733652312599681,0.013716108452950558,44.378159757330636
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,3e-4,0.0003,-3.5228787452803374,15,2,6243,10,0.8823529411764706,0.6,0.7142857142857143,0.002711323763955343,0.003987240829346092,221.29411764705884
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,3e-5,3e-05,-4.522878745280337,5306,603,184,177,0.8979522761888644,0.9677184023344885,0.9315308988764045,0.9424242424242424,0.874481658692185,1.0268394622841839
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,5e-5,5e-05,-4.301029995663981,2612,769,1952,937,0.7725524992605738,0.7359819667511975,0.7538239538239538,0.5392344497607655,0.5660287081339713,1.364864516867793
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,1e-4,0.0001,-4.0,312,149,5420,389,0.6767895878524945,0.4450784593437946,0.5370051635111877,0.07352472089314195,0.11180223285486443,6.053453232289788
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,2e-4,0.0002,-3.6989700043360187,27,14,6170,59,0.6585365853658537,0.313953488372093,0.42519685039370075,0.006539074960127592,0.013716108452950558,48.01191151446398
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,3e-4,0.0003,-3.5228787452803374,15,2,6243,10,0.8823529411764706,0.6,0.7142857142857143,0.002711323763955343,0.003987240829346092,221.29411764705884
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,3e-5,3e-05,-4.522878745280337,5363,623,164,120,0.8959238222519211,0.9781141710742295,0.9352166710262446,0.9547049441786284,0.874481658692185,1.0245198551011392
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,5e-5,5e-05,-4.301029995663981,2625,752,1969,924,0.7773171453953213,0.7396449704142012,0.7580132832803927,0.5385964912280702,0.5660287081339713,1.3732821926257155
