run,batch_size,valid_unique,invalid_or_empty,novel_unique,output_path,all_novel_unique,fcd_all_novel_vs_original,model_name,cond_criterion
28,1024,217,507,213,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_28_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
29,1024,203,545,197,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_29_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
30,1024,202,546,198,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_30_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
31,1024,200,537,195,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_31_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
32,1024,206,525,201,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_32_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
33,1024,185,521,181,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_33_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
34,1024,187,539,184,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_34_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
35,1024,191,528,187,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_35_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
36,1024,201,533,195,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_36_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
37,1024,207,519,202,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_37_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
