selection_bucket,count,threshold_s_cm,manuscript_use
consensus hit,16704,0.0001,sensitivity analysis; baseline ranking retained for MD selection
weighted-only hit,4348,0.0001,sensitivity analysis; baseline ranking retained for MD selection
baseline-only hit,368,0.0001,sensitivity analysis; baseline ranking retained for MD selection
neither hit,11190,0.0001,sensitivity analysis; baseline ranking retained for MD selection
