model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,threshold_label,threshold_s_cm,threshold_log10,tp,fp,tn,fn,precision,recall,f1,predicted_positive_rate,true_positive_rate,enrichment
smooth_sigmoid_tail_a4_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.2,Ridge,100.0,5e-5,5e-05,-4.301029995663981,2928,1104,1617,621,0.7261904761904762,0.8250211327134404,0.7724574594380689,0.6430622009569378,0.5660287081339713,1.2829569697701564
smooth_sigmoid_tail_a4_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.2,Ridge,100.0,1e-4,0.0001,-4.0,370,187,5382,331,0.6642728904847397,0.5278174037089871,0.5882352941176471,0.08883572567783093,0.11180223285486443,5.941499320027558
smooth_sigmoid_tail_a4_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.2,Ridge,100.0,2e-4,0.0002,-3.6989700043360187,36,18,6166,50,0.6666666666666666,0.4186046511627907,0.5142857142857143,0.00861244019138756,0.013716108452950558,48.604651162790695
smooth_sigmoid_tail_a4_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.2,Ridge,100.0,3e-4,0.0003,-3.5228787452803374,16,3,6242,9,0.8421052631578947,0.64,0.7272727272727272,0.0030303030303030303,0.003987240829346092,211.20000000000002
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,0.01,3e-5,3e-05,-4.522878745280337,5280,617,170,203,0.8953705273868069,0.9629764727339047,0.9279437609841827,0.9405103668261563,0.874481658692185,1.0238871433002517
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,0.01,5e-5,5e-05,-4.301029995663981,2880,1100,1621,669,0.7236180904522613,0.8114961961115807,0.765041838225528,0.6347687400318979,0.5660287081339713,1.278412349150656
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,0.01,1e-4,0.0001,-4.0,430,350,5219,271,0.5512820512820513,0.6134094151212554,0.5806887238352465,0.12440191387559808,0.11180223285486443,4.930867990782399
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,0.01,2e-4,0.0002,-3.6989700043360187,39,26,6158,47,0.6,0.45348837209302323,0.5165562913907285,0.01036682615629984,0.013716108452950558,43.74418604651162
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,0.01,3e-4,0.0003,-3.5228787452803374,18,4,6241,7,0.8181818181818182,0.72,0.7659574468085107,0.0035087719298245615,0.003987240829346092,205.20000000000002
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,0.1,3e-5,3e-05,-4.522878745280337,5280,618,169,203,0.8952187182095626,0.9629764727339047,0.9278622265178806,0.9406698564593301,0.874481658692185,1.0237135442593392
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,0.1,5e-5,5e-05,-4.301029995663981,2880,1100,1621,669,0.7236180904522613,0.8114961961115807,0.765041838225528,0.6347687400318979,0.5660287081339713,1.278412349150656
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,0.1,1e-4,0.0001,-4.0,432,350,5219,269,0.5524296675191815,0.6162624821683309,0.5826028320971005,0.12472089314194577,0.11180223285486443,4.941132689508229
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,0.1,2e-4,0.0002,-3.6989700043360187,39,26,6158,47,0.6,0.45348837209302323,0.5165562913907285,0.01036682615629984,0.013716108452950558,43.74418604651162
