model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,n_samples,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10,precision_at_1e4,recall_at_1e4,f1_at_1e4,threshold_enrichment_at_1e4,top100_true_ge_1e4_hit_rate,top100_enrichment,top100_mean_true_log10_cond,top100_median_true_log10_cond,tail_mae_true_ge_1e4,tail_rmse_true_ge_1e4,baseline_model_id,delta_mae_vs_baseline,delta_rmse_vs_baseline,delta_spearman_vs_baseline,delta_recall_at_1e4_vs_baseline,delta_top100_enrichment_vs_baseline,passes_screening_constraints,score_recall_at_1e4,score_top100_enrichment,score_spearman,score_tail_mae_inverse,score_global_mae_inverse,cej_screening_score,pareto_candidate,recommended_role
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,6270,701,0.13207499508022041,0.1731769360982228,0.48693849988460725,0.7046639445629849,0.6573378545802011,0.10544670085115326,0.2743826906734225,0.9796782441422627,0.6600361663652803,0.5206847360912982,0.5821371610845296,5.903604512282892,0.96,8.586590584878744,-3.613071457735891,-3.661548075655676,0.15072323022530923,0.18590052513572805,baseline_unweighted__ridge_alpha_1,-0.003977870109389908,-0.0033756333411750494,0.014928899905225501,0.06562054208273899,0.1788873038516403,True,0.4962962962962965,0.7499999999999976,0.9323463818734131,0.48586254561733144,0.9509533793419842,0.7135657391926534,True,not recommended
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,100.0,6270,701,0.13198761811637524,0.17248130406353163,0.49105204070467856,0.7048937498190987,0.658931883432918,0.1062425453873086,0.2757726149381614,0.9018497871376123,0.6586715867158671,0.5092724679029957,0.5744167337087691,5.891399213564175,0.96,8.586590584878744,-3.615046299279007,-3.6645432575002697,0.15474664776874394,0.19082201135013868,baseline_unweighted__ridge_alpha_1,-0.004065247073235079,-0.004071265375866218,0.016522928757942368,0.054208273894436554,0.1788873038516403,True,0.4370370370370372,0.7499999999999976,0.9928424473108388,0.40136015698136007,0.9575381490553152,0.6991624946269277,True,not recommended
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,10.0,6270,701,0.13901579627092922,0.18130972989140384,0.4376178275761794,0.6887417071525708,0.647067241284465,0.11164483487677401,0.28748610495897436,0.8976183465792884,0.5985401459854015,0.5848787446504993,0.5916305916305917,5.353561648114789,0.96,8.586590584878744,-3.6255052178222833,-3.709965388637482,0.1357322992031386,0.17442715421930552,baseline_unweighted__ridge_alpha_1,0.002962931081318898,0.0047571604520059985,0.004658286609489415,0.12981455064194009,0.1788873038516403,True,0.8296296296296296,0.7499999999999976,0.542559400939947,0.800711667185034,0.4278912877383393,0.6877097308339022,False,not recommended
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,100.0,6270,701,0.1318595219287921,0.1730325034733585,0.4877939477209883,0.7052354687002963,0.6580181389543228,0.10501155310590526,0.2735773183457189,0.9587766119676209,0.6635160680529301,0.5007132667617689,0.5707317073170732,5.934730023811515,0.96,8.586590584878744,-3.614099566176186,-3.6645432575002697,0.1534378248683192,0.18811118460127416,baseline_unweighted__ridge_alpha_1,-0.004193343260818216,-0.0035200659660393485,0.01560918427934721,0.045649072753209674,0.1788873038516403,True,0.39259259259259244,0.7499999999999976,0.958164313551865,0.42884889266275183,0.9671915389108524,0.6866870755945611,True,not recommended
recall_focused_near_threshold__ridge_alpha_100,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,100.0,6270,701,0.13667798337397163,0.1807468576271987,0.4411042148378903,0.7009101395032862,0.6522278194194384,0.10813789167964938,0.2843743492471349,1.0878492075134325,0.6453287197231834,0.5320970042796006,0.583268178264269,5.772055738465563,0.96,8.586590584878744,-3.610463577296988,-3.676896193896657,0.13910300553711663,0.17199450965915475,baseline_unweighted__ridge_alpha_1,0.0006251181843613118,0.004194288187800849,0.009818864744462807,0.07703281027104142,0.1788873038516403,True,0.5555555555555558,0.7499999999999976,0.7384119866796549,0.7299179368459285,0.6040699838372164,0.6741694743272911,False,not recommended
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,10.0,6270,701,0.1395270430495501,0.1830133535885847,0.42699965732211675,0.6881854125116706,0.6445712191776786,0.11202952748967032,0.2892626454757707,0.9365240440127529,0.593841642228739,0.5777460770328102,0.5856832971800434,5.311536514656482,0.96,8.586590584878744,-3.6239313386231853,-3.6991057637908638,0.13316664988937446,0.16984066902630027,baseline_unweighted__ridge_alpha_1,0.003474177859939781,0.0064607841491868545,0.0021622645027029597,0.12268188302425104,0.1788873038516403,True,0.7925925925925924,0.7499999999999976,0.44783118040112146,0.8545970750689565,0.38936348640770413,0.6618084684498708,False,not recommended
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,10.0,6270,701,0.13757583644228463,0.18004888944151234,0.4454123206365863,0.6912063343846361,0.6471749674026787,0.11094969162917412,0.2850196941778969,0.89796905196593,0.6059190031152648,0.5549215406562055,0.5793000744601638,5.419560840988175,0.96,8.586590584878744,-3.621868703254587,-3.688246138944246,0.13816427251909255,0.17513126193211706,baseline_unweighted__ridge_alpha_1,0.00152297125267431,0.0034963200021145002,0.004766012727703051,0.09985734664764628,0.1788873038516403,True,0.6740740740740744,0.7499999999999976,0.5466477875997395,0.7496338081066506,0.5364073479309736,0.6582542494441095,False,not recommended
smooth_sigmoid_tail_a6_t0p2__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.2,Ridge,10.0,6270,701,0.1363480919494898,0.17906939301872477,0.45143000899334484,0.6933743387109741,0.6465093079008382,0.10931070968157464,0.28229500310127287,0.9532732337288268,0.631578947368421,0.5306704707560628,0.5767441860465116,5.6490727532097,0.96,8.586590584878744,-3.6262197525378266,-3.6991057637908638,0.1421234674833254,0.17775077028743258,baseline_unweighted__ridge_alpha_1,0.00029522675987947444,0.002516823579326921,0.004100353225862552,0.07560627674750359,0.1788873038516403,True,0.5481481481481483,0.7499999999999976,0.5213848943254107,0.666480263156012,0.6289307590921772,0.623125669239347,False,not recommended
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,100.0,6270,701,0.13174742984446938,0.17231357287526153,0.49204142258246186,0.7051926668557474,0.6587955375064452,0.1048457238647611,0.2734361498424727,0.9047765112841821,0.6635160680529301,0.5007132667617689,0.5707317073170732,5.934730023811515,0.95,8.497146932952925,-3.618801265376365,-3.676896193896657,0.15647382551588393,0.19205711979259843,baseline_unweighted__ridge_alpha_1,-0.00430543534514094,-0.004238996564136316,0.016386582831469543,0.045649072753209674,0.08944365192582104,True,0.39259259259259244,0.5,0.9876678909808402,0.3650848652283621,0.9756388519035573,0.6217902839141041,True,not recommended
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,6270,701,0.13571514317322608,0.17760692094633684,0.46035383665498275,0.6929124766382169,0.6461189418579615,0.10836633475554369,0.28078567879125604,0.9204797929837856,0.6294416243654822,0.5306704707560628,0.5758513931888545,5.629955755736909,0.96,8.586590584878744,-3.6313220958538794,-3.709965388637482,0.1444249849269038,0.1815396964068125,baseline_unweighted__ridge_alpha_1,-0.0003377220163842398,0.0010543515069389997,0.0037099871829858744,0.07560627674750359,0.1788873038516403,True,0.5481481481481483,0.7499999999999976,0.5065698490179398,0.6181423217491895,0.6766300810715546,0.620066867263736,False,not recommended
