model,generated_candidates,mean_log10_predicted_conductivity,median_log10_predicted_conductivity,count_ge_1e4_s_cm,hit_fraction_ge_1e4_s_cm,baseline_weighted_rank_spearman,weighted_minus_baseline_mean_log10,weighted_model,deployment_fit
Baseline PolyBERT-Ridge,32610,-3.95527859760999,-3.9807616186627257,17072,0.5235203925176326,0.9426864696229357,0.09157775885006635,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit
Interval-weighted Ridge,32610,-3.8637008387599234,-3.8871976380342432,21052,0.6455688439129101,0.9426864696229357,0.09157775885006635,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit
