band,n,cond_min,cond_median,cond_max,mae_log10,rmse_log10,mae_factor_approx,rmse_factor_approx,mae_cond,rmse_cond
q1,1568,2.48e-06,2.98e-05,3.85e-05,0.1834155899264885,0.231709273539262,1.5255118654047533,1.7049406813956796,1.444491035163679e-05,1.866821924256063e-05
q2,1568,3.85e-05,4.66e-05,5.39e-05,0.09802178053882754,0.12512720027820803,1.2532040234821789,1.3339120637445365,1.0992675836679656e-05,1.4947681383497105e-05
q3,1567,5.39e-05,6.28e-05,7.48e-05,0.10845761776556848,0.13716067002567728,1.2836824914525597,1.3713890264824524,1.4584523021162578e-05,1.8654180926602725e-05
q4,1567,7.48e-05,9.65e-05,0.00157,0.15431016361141384,0.19110076296316214,1.4266260949885872,1.5527472292776863,3.648047881603776e-05,7.031781562086891e-05
