Trajectory ID,SMILES,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number,PSMILES,log10_cond,fold
27044,CC(C)C(NC(=O)*)C(C)O*,1.4,404.0,31.0,1.21,2.93e-05,2.37e-08,9.87e-09,6.35e-09,-0.239,CC(C)C(NC(=O)[*])C(C)O[*],-4.533132379645891,2
27045,CC(C)=CC(=O)N(C)CC(COC(=O)*)O*,1.26,474.0,31.0,1.3,3.68e-05,1.95e-08,1.09e-08,1.04e-08,0.207,CC(C)=CC(=O)N(C)CC(COC(=O)[*])O[*],-4.434152181326482,2
27046,CCN(C)CC(CN(C)CCOC(=O)*)O*,1.34,477.0,19.0,1.2,0.000101,4.69e-08,2.26e-08,3.11e-08,0.124,CCN(C)CC(CN(C)CCOC(=O)[*])O[*],-3.9956786262173574,3
27047,CCC(CO*)NC(=O)C(OC(=O)*)C(C)C,1.35,476.0,19.0,1.26,2.53e-05,1.72e-08,1.11e-08,1.12e-08,-0.236,CCC(CO[*])NC(=O)C(OC(=O)[*])C(C)C,-4.5968794788241825,3
27048,CC(CCNC(=O)CCN*)NC(=O)*,1.39,446.0,16.0,1.34,7.08e-05,1.79e-08,1.4e-08,8.41e-09,0.304,CC(CCNC(=O)CCN[*])NC(=O)[*],-4.149966742310231,0
27049,CC=C(CC)C(=O)NC(CO*)COC(=O)*,1.5,474.0,26.0,1.33,2.82e-05,1.69e-08,1.15e-08,1.12e-08,-0.201,CC=C(CC)C(=O)NC(CO[*])COC(=O)[*],-4.549750891680639,0
27050,CC(C)C(CN(C)CCO*)OC(=O)*,1.39,448.0,19.0,1.21,6.53e-05,5.48e-08,2.48e-08,2.51e-08,-0.338,CC(C)C(CN(C)CCO[*])OC(=O)[*],-4.185086818724926,2
27051,CCC(CC)C(NC(=O)*)C(C)(C)O*,1.44,446.0,31.0,1.18,2.52e-05,1.67e-08,1.28e-08,6.85e-09,-0.442,CCC(CC)C(NC(=O)[*])C(C)(C)O[*],-4.598599459218456,1
27052,CC(OC(=O)*)C(C)SCC(C)(C)O*,1.42,465.0,19.0,1.26,3.71e-05,3.5e-08,1.73e-08,1.62e-08,-0.973,CC(OC(=O)[*])C(C)SCC(C)(C)O[*],-4.430626090384954,2
27053,CCC(C)C(C)(CO*)COC(=O)*,1.39,433.0,26.0,1.21,8.21e-06,1.12e-08,6.77e-09,8.86e-09,-0.643,CCC(C)C(C)(CO[*])COC(=O)[*],-5.085656842880559,0
