fold,n_train,n_val,mae_log10,rmse_log10,mae_factor_approx,rmse_factor_approx
0,4702,1568,0.1382421694543897,0.17922816362276234,1.3748083761530208,1.5108737076056113
1,4702,1568,0.1320651523312744,0.17195693010588697,1.3553927314729781,1.4857882862415548
2,4703,1567,0.1342746001866188,0.17482054960050797,1.3623057829315892,1.4956175395100584
3,4703,1567,0.13963034933512578,0.18008137604595265,1.3792098474973922,1.513844878956149
