model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,prediction_decile,count,mean_pred_log10,mean_true_log10,std_true_log10,mae_log10,min_pred_log10,max_pred_log10
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,9,627,-3.8627815142972293,-3.9145717604786974,0.22998549404919133,0.13216309764735526,-3.989114463246397,-3.0496348233174784
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,0,627,-4.514698093456703,-4.508155518064542,0.20364542101803823,0.14505981113504735,-4.821608831037624,-4.435304620115815
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,1,627,-4.401576890153044,-4.430223993314211,0.19451374699474,0.15093449849987478,-4.435032029430507,-4.370347086338696
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,2,627,-4.346563170515925,-4.370623304521325,0.1714872817463593,0.1330189552881595,-4.370338628806067,-4.321807507041267
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,3,627,-4.300672682090753,-4.337132490477277,0.162784967790631,0.12535312275561422,-4.321803995368812,-4.2817302771975365
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,4,627,-4.261758681759647,-4.309342216154658,0.16498734579843158,0.1297770597542083,-4.2817127435776845,-4.241210164717529
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,5,627,-4.2196987506460095,-4.280392423754815,0.1855253567660705,0.14515380868301156,-4.241203712740942,-4.196656260816949
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,6,627,-4.175218525090938,-4.229032825832676,0.1585564258888348,0.12722410764841496,-4.196607842586636,-4.153766220106112
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,7,627,-4.127119523303627,-4.185504919722179,0.16302473284527258,0.12971298663416392,-4.153763599190294,-4.097136671135705
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,8,627,-4.053731172635059,-4.117967009198482,0.16466247633260883,0.1336069754702953,-4.097065577529648,-4.000391459022696
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,9,627,-3.873365426443315,-3.9155027155756597,0.2304838787447762,0.12911086985426934,-3.9999919459647977,-3.05270700346229
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,0,627,-4.550465608471213,-4.510287397204259,0.20833961973628248,0.1608289369470874,-5.0354237406421625,-4.461112470133677
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,1,627,-4.421659895857231,-4.417612370505941,0.19002168684955076,0.14870781305226574,-4.4610004876348235,-4.388431036108435
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,2,627,-4.358069736729842,-4.371131605651999,0.17265551828201772,0.13473245623640606,-4.388374465712791,-4.331311707046507
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,3,627,-4.305401637542787,-4.344339407144195,0.16799973084064573,0.12944486937112587,-4.331309553569028,-4.280738545069659
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,4,627,-4.25749450905135,-4.307238517998936,0.1691308923832627,0.13326616263251215,-4.280543587854786,-4.234199445219554
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,5,627,-4.210301920283713,-4.2740614914032875,0.17346074507261394,0.14028834969608464,-4.234093595007639,-4.185612763826296
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,6,627,-4.160613185528739,-4.238397874567609,0.17211391177286625,0.14321034909574692,-4.185593032202324,-4.134465217419688
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,7,627,-4.103206898396198,-4.187095666754602,0.15822655924520004,0.13674988604752322,-4.134353916805292,-4.068191869270241
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,8,627,-4.027258257983131,-4.111025736704221,0.16886459823752864,0.14425633252214104,-4.068188167449438,-3.975685344565216
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,9,627,-3.8500769454416024,-3.922687348680775,0.23499818150481727,0.14314331471682068,-3.9756040481950503,-3.014560087253665
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,0,627,-4.526397391816489,-4.509634398873809,0.20792485719104511,0.15175839818441286,-4.806001927301391,-4.443302266603265
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,1,627,-4.4066055417935415,-4.425398220317939,0.18862510687365905,0.14667224172109977,-4.443168103062547,-4.375078403047417
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,2,627,-4.347397908222139,-4.376506144808925,0.17348322844883862,0.13554704182561092,-4.374968551995148,-4.320790151455714
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,3,627,-4.296572886619831,-4.33277812892898,0.15889250267075763,0.12221363781872673,-4.320721379281883,-4.274948484082697
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,4,627,-4.25333515015168,-4.309977200714207,0.16583735552502746,0.13483989048303066,-4.274867435669788,-4.2309088726726145
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,5,627,-4.20724590891684,-4.281913216515297,0.18420109826794262,0.14693093019815384,-4.230876148929416,-4.182766190649218
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,6,627,-4.159391216679478,-4.223032279812416,0.1612956757339845,0.13152340077689853,-4.182740545308835,-4.135700040901792
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,7,627,-4.107748095590916,-4.19102041581933,0.1665328760351172,0.1406223321066935,-4.135635753478705,-4.07615765056626
