model_id,bin_left,bin_right,count
baseline_unweighted__ridge_alpha_1,0.9500000000000002,0.9750000000000001,0
baseline_unweighted__ridge_alpha_1,0.9750000000000001,1.0,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-1.0,-0.975,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.975,-0.95,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.95,-0.925,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.925,-0.9,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.9,-0.875,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.875,-0.85,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.85,-0.825,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.825,-0.8,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.8,-0.775,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.775,-0.75,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.75,-0.725,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.725,-0.7,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.7,-0.675,1
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.675,-0.6499999999999999,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.6499999999999999,-0.625,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.625,-0.6,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.6,-0.575,1
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.575,-0.55,1
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.55,-0.5249999999999999,1
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.5249999999999999,-0.5,3
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.5,-0.475,3
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.475,-0.44999999999999996,6
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.44999999999999996,-0.42499999999999993,3
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.42499999999999993,-0.3999999999999999,14
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.3999999999999999,-0.375,13
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.375,-0.35,15
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.35,-0.32499999999999996,17
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.32499999999999996,-0.29999999999999993,35
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.29999999999999993,-0.2749999999999999,46
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.2749999999999999,-0.25,72
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.25,-0.22499999999999998,84
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.22499999999999998,-0.19999999999999996,117
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.19999999999999996,-0.17499999999999993,142
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.17499999999999993,-0.1499999999999999,188
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.1499999999999999,-0.125,241
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.125,-0.09999999999999998,268
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.09999999999999998,-0.07499999999999996,294
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.07499999999999996,-0.04999999999999993,339
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.04999999999999993,-0.02499999999999991,405
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,-0.02499999999999991,0.0,390
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.0,0.025000000000000133,381
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.025000000000000133,0.050000000000000044,387
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.050000000000000044,0.07499999999999996,332
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.07499999999999996,0.10000000000000009,377
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.10000000000000009,0.125,346
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.125,0.15000000000000013,270
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.15000000000000013,0.17500000000000004,289
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.17500000000000004,0.20000000000000018,238
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.20000000000000018,0.2250000000000001,170
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.2250000000000001,0.25,141
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.25,0.27500000000000013,137
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.27500000000000013,0.30000000000000004,93
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.30000000000000004,0.3250000000000002,80
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.3250000000000002,0.3500000000000001,54
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.3500000000000001,0.375,59
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.375,0.40000000000000013,31
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.40000000000000013,0.42500000000000004,38
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.42500000000000004,0.4500000000000002,26
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.4500000000000002,0.4750000000000001,27
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.4750000000000001,0.5,13
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.5,0.5250000000000001,12
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.5250000000000001,0.55,10
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.55,0.5750000000000002,12
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.5750000000000002,0.6000000000000001,13
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.6000000000000001,0.625,6
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.625,0.6500000000000001,4
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.6500000000000001,0.675,7
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.675,0.7000000000000002,5
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.7000000000000002,0.7250000000000001,1
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.7250000000000001,0.75,3
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.75,0.7750000000000001,1
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.7750000000000001,0.8,1
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.8,0.8250000000000002,1
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.8250000000000002,0.8500000000000001,2
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.8500000000000001,0.875,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.875,0.9000000000000001,2
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.9000000000000001,0.925,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.925,0.9500000000000002,1
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.9500000000000002,0.9750000000000001,0
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,0.9750000000000001,1.0,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-1.0,-0.975,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.975,-0.95,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.95,-0.925,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.925,-0.9,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.9,-0.875,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.875,-0.85,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.85,-0.825,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.825,-0.8,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.8,-0.775,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.775,-0.75,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.75,-0.725,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.725,-0.7,1
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.7,-0.675,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.675,-0.6499999999999999,0
