decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,repeat,all_novel_unique,fcd_all_novel_vs_original,all_novel_path,run_summary_path,model_name,model_key,cond_criterion,cond_key,num_rounds,batch_size,original_valid_unique
shared,1.0,,0.95,1,48,7.8907169714390974,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_01/all_novel_smiles_condz_low.csv,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_01/fcd_summary_condz_low_repeat_01.csv,Encoder_Only_PSMILES,Encoder_Only_PSMILES,condz_low,LOW,50,1024,6026
shared,1.0,,0.95,2,48,7.860861168242245,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_02/all_novel_smiles_condz_low.csv,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_02/fcd_summary_condz_low_repeat_02.csv,Encoder_Only_PSMILES,Encoder_Only_PSMILES,condz_low,LOW,50,1024,6026
shared,1.0,,0.95,3,49,7.76991848387658,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_03/all_novel_smiles_condz_low.csv,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_03/fcd_summary_condz_low_repeat_03.csv,Encoder_Only_PSMILES,Encoder_Only_PSMILES,condz_low,LOW,50,1024,6026
shared,1.0,,0.95,4,49,7.769918472449042,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_04/all_novel_smiles_condz_low.csv,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_04/fcd_summary_condz_low_repeat_04.csv,Encoder_Only_PSMILES,Encoder_Only_PSMILES,condz_low,LOW,50,1024,6026
shared,1.0,,0.95,5,49,7.769918243571652,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/all_novel_smiles_condz_low.csv,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/fcd_summary_condz_low_repeat_05.csv,Encoder_Only_PSMILES,Encoder_Only_PSMILES,condz_low,LOW,50,1024,6026
