run,batch_size,valid_unique,invalid_or_empty,novel_unique,output_path,all_novel_unique,fcd_all_novel_vs_original,model_name,cond_criterion
27,1024,177,14,162,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_27_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
28,1024,163,15,151,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_28_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
29,1024,182,15,166,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_29_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
30,1024,176,6,163,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_30_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
31,1024,175,14,162,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_31_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
32,1024,155,18,144,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_32_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
33,1024,175,14,165,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_33_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
34,1024,166,18,151,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_34_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
35,1024,183,11,168,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_35_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
36,1024,176,15,162,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_36_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
37,1024,171,17,159,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_37_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
