row_id,canonical_structure,canonical_group_id,conductivity_S_cm,log10_conductivity_S_cm,stratification_bin,fold,source_file
28738,[*]COC(=O)OC([*])CNCC(CC)CC,sha256:cf42368b8d07592dbec9a689066fba273e9c9aa5b2c21f36e1a09415cc1a0527,2.97e-05,-4.527243550682788,0,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28739,[*]CC#CCOC(=O)OCCN([*])C(C)C,sha256:ddb59b05ef23b2fea1b96cae703578bb98c0810fc76a87b9d62e9433b269c852,8.04e-05,-4.094743951251549,4,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28740,[*]CNCCCOC(=O)OC([*])CC,sha256:10972d7496faa3d18e9f8b07ef774dcd9cc22dc96d46cab7ac3e2d5624de31ae,9.18e-05,-4.037157318798758,5,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28741,[*]CNC(=O)CCCCOC(=O)OC([*])C,sha256:99a4348c3efa92767d7940b47f0360fe2c2da2fc69c234fea9dbb395dc7f4494,4.84e-05,-4.315154638355588,2,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28742,[*]COC(=O)OCC([*])NC(=O)CCC(C)C,sha256:0f114e3c7e97a4399ebdce0fc17faa1177c05b333e8f5376ba9e2f0709ae8f0f,5.47e-05,-4.262012673666569,3,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28743,[*]OC(=O)OC(C)(C)C([*])CN(C)CCC#N,sha256:d00704b432ad8df9c08a0f2798ae086bede17ac332cdcfd009d0250b1b5152a3,6.09e-05,-4.215382707367125,3,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28744,[*]COC(=O)OC([*])CNC(=O)CC(C)C,sha256:cfc083cd2d850d94b8e5aed1a7fee081e0dcde5f4c9bc01395b2a060274c5905,8.58e-05,-4.066512712151295,4,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28745,[*]COC(=O)OC([*])CNC(COC)C(C)C,sha256:34df76572aabd164462b9d3a8336af272b3ded8ef946b9cfa7dbeaea235787b8,4.01e-05,-4.396855627379818,1,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28746,[*]CCOC(=O)OCCN([*])CCCC(=O)O,sha256:d42862f667c2683011706fb8faf0fd40c12a8e5902782225af56db8e3303660d,3.46e-05,-4.460923901207224,1,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28747,[*]CCOC(=O)OC(C)C(C)N([*])CC,sha256:db6927fd0b014a64470c1904ba6cf737503f34eb7201f9d857b889af438f0356,5.39e-05,-4.268411234813262,2,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28748,[*]CNCC(C)OC(=O)OC([*])CC,sha256:4c2b6e1d3be0bc3b4bcbd37c474d982be739e3452717e1d44764d5778de7ae34,9.09e-05,-4.041436116778033,5,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28749,[*]COC(=O)OCC([*])NCC(CC)CC,sha256:c9109acd0a29c84cbf4528b2c33a48eb47995bf21627afef72ec190460edf2c6,3.16e-05,-4.5003129173815966,0,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28750,[*]CCCNC(=O)NCCC(=O)N([*])C,sha256:db1fe10ed236fb00214d4dfa2cc6aeb43afdca0a54591b3f0dbca49ce9af6517,6.39e-05,-4.1944991418416,3,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28751,[*]COC(=O)OC([*])CSCCC(=O)NC,sha256:ca7d25bf6691e0e604c6432a0886338ca21617fb98974f40bbeb714b433086e3,0.00011,-3.958607314841775,5,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28752,[*]COC(=O)OC([*])CSC(C)C(=O)OC,sha256:006b1c5b88e3d2d50fd0c291695db4f3d2d93b70e53d1637a2b82be783cf7573,5.38e-05,-4.269217724333611,2,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28753,[*]COC(=O)OCC([*])NCCSC,sha256:12d0d4b915acb9eaa1dbd03939fc4d5ef8241f2c9db775b5b491d1149a93a86d,9.2e-05,-4.036212172654444,5,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28754,[*]COC(=O)OC([*])CNC(=O)OCC(C)C,sha256:d7f72cf2682c27cd5737fd92b225563a9f472c8bd334fba4378cb85954e77933,3.21e-05,-4.493494967595128,0,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28755,[*]CN(C)CCNC(=O)OC([*])CC,sha256:26c665ab6a2c9279f7c4ae40576f46d0151cc471f73e6b81e496780dcaa5f23e,0.000104,-3.98296666070122,5,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28756,[*]OCC(COC([*])=O)NCCC(F)(F)F,sha256:ff43bcf6f5b4d8ebf26da3ae5b7da8fedb64b097b061b5513b3a3166b8706ae1,4.02e-05,-4.39577394691553,1,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28757,[*]COC(=O)OC([*])CNCCSC,sha256:dcf42564262ffe951d256e99a3b2d766119ffe08e9c7c5ccbe531d68f702efb4,0.000129,-3.889410289700751,5,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
